i,j,k,x_m,y_m,depth_m,Sw,So,permeability_md
23,10,10,225.0,95.0,9.5,0.62310546946186,0.37689453053814004,866.0287081339711
24,10,10,235.0,95.0,9.5,0.6202901355589087,0.37970986444109134,866.0287081339711
25,10,10,245.0,95.0,9.5,0.6175551640958707,0.38244483590412925,866.0287081339711
26,10,10,255.0,95.0,9.5,0.6148803854430839,0.3851196145569161,866.0287081339711
27,10,10,265.0,95.0,9.5,0.6122645622795218,0.38773543772047825,866.0287081339711
28,10,10,275.0,95.0,9.5,0.6096908467496722,0.3903091532503278,866.0287081339711
29,10,10,285.0,95.0,9.5,0.6071608147602956,0.3928391852397044,866.0287081339711
30,10,10,295.0,95.0,9.5,0.6046653894533179,0.39533461054668206,866.0287081339711
31,10,10,305.0,95.0,9.5,0.6022069727754144,0.39779302722458565,866.0287081339711
32,10,10,315.0,95.0,9.5,0.5997795622093708,0.4002204377906292,866.0287081339711
33,10,10,325.0,95.0,9.5,0.5973887825868898,0.40261121741311023,866.0287081339711
34,10,10,335.0,95.0,9.5,0.5950271442732408,0.40497285572675923,866.0287081339711
35,10,10,345.0,95.0,9.5,0.5927024778300243,0.4072975221699757,866.0287081339711
36,10,10,355.0,95.0,9.5,0.5904006891985777,0.4095993108014223,866.0287081339711
37,10,10,365.0,95.0,9.5,0.5881339445062764,0.41186605549372357,866.0287081339711
38,10,10,375.0,95.0,9.5,0.5858888448258657,0.4141111551741343,866.0287081339711
39,10,10,385.0,95.0,9.5,0.5836704958113185,0.41632950418868153,866.0287081339711
40,10,10,395.0,95.0,9.5,0.5814632827121199,0.4185367172878801,866.0287081339711
41,10,10,405.0,95.0,9.5,0.5792666393337956,0.42073336066620437,866.0287081339711
42,10,10,415.0,95.0,9.5,0.5770684606002351,0.4229315393997649,866.0287081339711
43,10,10,425.0,95.0,9.5,0.5748571840344924,0.4251428159655076,866.0287081339711
44,10,10,435.0,95.0,9.5,0.5726187431184843,0.42738125688151574,866.0287081339711
45,10,10,445.0,95.0,9.5,0.5703168686007448,0.4296831313992552,866.0287081339711
46,10,10,455.0,95.0,9.5,0.5679055677779312,0.4320944322220688,866.0287081339711
47,10,10,465.0,95.0,9.5,0.5652724103708991,0.43472758962910085,866.0287081339711
48,10,10,475.0,95.0,9.5,0.562197913042913,0.437802086957087,866.0287081339711
49,10,10,485.0,95.0,9.5,0.558074206429679,0.441925793570321,866.0287081339711
50,10,10,495.0,95.0,9.5,0.550187078084327,0.449812921915673,866.0287081339711
1,1,11,5.0,5.0,10.5,0.7311998494033402,0.26880015059665985,866.0287081339712
2,1,11,15.0,5.0,10.5,0.7262037721855424,0.27379622781445756,866.0287081339712
3,1,11,25.0,5.0,10.5,0.7203430083951311,0.2796569916048689,866.0287081339712
4,1,11,35.0,5.0,10.5,0.714205918323142,0.28579408167685805,866.0287081339712
5,1,11,45.0,5.0,10.5,0.7080972302323784,0.29190276976762164,866.0287081339712
6,1,11,55.0,5.0,10.5,0.702173147836571,0.29782685216342897,866.0287081339712
7,1,11,65.0,5.0,10.5,0.6964989906952455,0.30350100930475454,866.0287081339712
8,1,11,75.0,5.0,10.5,0.6910932649409425,0.3089067350590575,866.0287081339712
9,1,11,85.0,5.0,10.5,0.6859519515432891,0.31404804845671086,866.0287081339712
10,1,11,95.0,5.0,10.5,0.6810603481190208,0.31893965188097917,866.0287081339712
11,1,11,105.0,5.0,10.5,0.6763985170459864,0.3236014829540136,866.0287081339712
12,1,11,115.0,5.0,10.5,0.6719448441558713,0.3280551558441287,866.0287081339712
13,1,11,125.0,5.0,10.5,0.6676810929175385,0.3323189070824615,866.0287081339712
14,1,11,135.0,5.0,10.5,0.6635916517185134,0.3364083482814866,866.0287081339712
15,1,11,145.0,5.0,10.5,0.6596648095729505,0.3403351904270495,866.0287081339712
16,1,11,155.0,5.0,10.5,0.65589072598791,0.34410927401209,866.0287081339712
17,1,11,165.0,5.0,10.5,0.65225986146691,0.34774013853309005,866.0287081339712
18,1,11,175.0,5.0,10.5,0.6487549666805675,0.35124503331943246,866.0287081339712
19,1,11,185.0,5.0,10.5,0.645364311964685,0.354635688035315,866.0287081339712
20,1,11,195.0,5.0,10.5,0.6420825488634694,0.3579174511365306,866.0287081339712
21,1,11,205.0,5.0,10.5,0.6388891769473085,0.3611108230526915,866.0287081339712
22,1,11,215.0,5.0,10.5,0.6357771852040914,0.36422281479590857,866.0287081339712
23,1,11,225.0,5.0,10.5,0.6327493630568722,0.36725063694312776,866.0287081339712
24,1,11,235.0,5.0,10.5,0.6297917827965653,0.37020821720343466,866.0287081339712
25,1,11,245.0,5.0,10.5,0.6269127991972462,0.3730872008027538,866.0287081339712
