i,j,k,x_m,y_m,depth_m,Sw,So,permeability_md
18,8,15,175.0,75.0,14.5,0.642984259099011,0.357015740900989,657.8947368421052
19,8,15,185.0,75.0,14.5,0.6386618087395124,0.3613381912604876,657.8947368421052
20,8,15,195.0,75.0,14.5,0.6344905276326525,0.36550947236734754,657.8947368421052
21,8,15,205.0,75.0,14.5,0.630458715275553,0.36954128472444703,657.8947368421052
22,8,15,215.0,75.0,14.5,0.6265570515706915,0.3734429484293085,657.8947368421052
23,8,15,225.0,75.0,14.5,0.6227717077770178,0.37722829222298215,657.8947368421052
24,8,15,235.0,75.0,14.5,0.6190925083852221,0.3809074916147779,657.8947368421052
25,8,15,245.0,75.0,14.5,0.61551084775989,0.38448915224011004,657.8947368421052
26,8,15,255.0,75.0,14.5,0.6120217766601685,0.38797822333983145,657.8947368421052
27,8,15,265.0,75.0,14.5,0.6086101264181705,0.39138987358182953,657.8947368421052
28,8,15,275.0,75.0,14.5,0.6052687419175418,0.39473125808245824,657.8947368421052
29,8,15,285.0,75.0,14.5,0.6020042380920482,0.39799576190795183,657.8947368421052
30,8,15,295.0,75.0,14.5,0.5988065507636997,0.4011934492363003,657.8947368421052
31,8,15,305.0,75.0,14.5,0.5956703173964867,0.4043296826035133,657.8947368421052
32,8,15,315.0,75.0,14.5,0.5925951499332985,0.40740485006670146,657.8947368421052
33,8,15,325.0,75.0,14.5,0.5895683659666606,0.4104316340333394,657.8947368421052
34,8,15,335.0,75.0,14.5,0.5865894039061738,0.41341059609382624,657.8947368421052
35,8,15,345.0,75.0,14.5,0.5836532450478115,0.41634675495218854,657.8947368421052
36,8,15,355.0,75.0,14.5,0.5807542230408722,0.4192457769591278,657.8947368421052
37,8,15,365.0,75.0,14.5,0.5778894054365671,0.4221105945634329,657.8947368421052
38,8,15,375.0,75.0,14.5,0.575036005437473,0.424963994562527,657.8947368421052
39,8,15,385.0,75.0,14.5,0.5721880659799934,0.4278119340200066,657.8947368421052
40,8,15,395.0,75.0,14.5,0.5693230663381362,0.43067693366186377,657.8947368421052
41,8,15,405.0,75.0,14.5,0.5664156678087849,0.43358433219121506,657.8947368421052
42,8,15,415.0,75.0,14.5,0.5634207676833836,0.43657923231661644,657.8947368421052
43,8,15,425.0,75.0,14.5,0.5602615511185982,0.4397384488814018,657.8947368421052
44,8,15,435.0,75.0,14.5,0.5568236889026734,0.4431763110973266,657.8947368421052
45,8,15,445.0,75.0,14.5,0.5529023081219118,0.44709769187808823,657.8947368421052
46,8,15,455.0,75.0,14.5,0.548154491137865,0.45184550886213504,657.8947368421052
47,8,15,465.0,75.0,14.5,0.5420384274037123,0.45796157259628767,657.8947368421052
48,8,15,475.0,75.0,14.5,0.5337484916106874,0.4662515083893126,657.8947368421052
49,8,15,485.0,75.0,14.5,0.5220201132540433,0.4779798867459567,657.8947368421052
50,8,15,495.0,75.0,14.5,0.500643269482854,0.499356730517146,657.8947368421052
1,9,15,5.0,85.0,14.5,0.7304862297051787,0.26951377029482126,657.8947368421052
2,9,15,15.0,85.0,14.5,0.7241639333362017,0.27583606666379834,657.8947368421052
3,9,15,25.0,85.0,14.5,0.7166354441568079,0.2833645558431921,657.8947368421052
4,9,15,35.0,85.0,14.5,0.7086865076947897,0.2913134923052103,657.8947368421052
5,9,15,45.0,85.0,14.5,0.7007570552163465,0.29924294478365354,657.8947368421052
6,9,15,55.0,85.0,14.5,0.6930922403196687,0.30690775968033135,657.8947368421052
7,9,15,65.0,85.0,14.5,0.68578252541017,0.31421747458982996,657.8947368421052
8,9,15,75.0,85.0,14.5,0.6788722519826559,0.3211277480173441,657.8947368421052
9,9,15,85.0,85.0,14.5,0.6723438139810591,0.32765618601894086,657.8947368421052
10,9,15,95.0,85.0,14.5,0.6661815680563132,0.33381843194368677,657.8947368421052
11,9,15,105.0,85.0,14.5,0.660355745947712,0.33964425405228804,657.8947368421052
12,9,15,115.0,85.0,14.5,0.6548335782119115,0.34516642178808854,657.8947368421052
13,9,15,125.0,85.0,14.5,0.6495849417364465,0.35041505826355346,657.8947368421052
14,9,15,135.0,85.0,14.5,0.6445836710216966,0.35541632897830344,657.8947368421052
15,9,15,145.0,85.0,14.5,0.6398059135843178,0.3601940864156822,657.8947368421052
16,9,15,155.0,85.0,14.5,0.6352309354755004,0.36476906452449964,657.8947368421052
17,9,15,165.0,85.0,14.5,0.6308409360640281,0.36915906393597187,657.8947368421052
18,9,15,175.0,85.0,14.5,0.6266196982204696,0.3733803017795304,657.8947368421052
19,9,15,185.0,85.0,14.5,0.6225522236317288,0.3774477763682712,657.8947368421052
20,9,15,195.0,85.0,14.5,0.6186257215257885,0.38137427847421146,657.8947368421052
21,9,15,205.0,85.0,14.5,0.61482873995143,0.38517126004857005,657.8947368421052
22,9,15,215.0,85.0,14.5,0.6111533453187282,0.3888466546812718,657.8947368421052
23,9,15,225.0,85.0,14.5,0.6075877075068474,0.39241229249315257,657.8947368421052
24,9,15,235.0,85.0,14.5,0.6041191199964773,0.39588088000352273,657.8947368421052
25,9,15,245.0,85.0,14.5,0.6007386641461562,0.3992613358538438,657.8947368421052
26,9,15,255.0,85.0,14.5,0.5974422107101668,0.4025577892898332,657.8947368421052
27,9,15,265.0,85.0,14.5,0.5942255997109427,0.4057744002890573,657.8947368421052
28,9,15,275.0,85.0,14.5,0.5910847734820991,0.4089152265179009,657.8947368421052
29,9,15,285.0,85.0,14.5,0.5880172013135577,0.4119827986864423,657.8947368421052
30,9,15,295.0,85.0,14.5,0.5850124117561559,0.4149875882438441,657.8947368421052
31,9,15,305.0,85.0,14.5,0.5820721496609293,0.41792785033907065,657.8947368421052
32,9,15,315.0,85.0,14.5,0.5791853293394998,0.42081467066050016,657.8947368421052
33,9,15,325.0,85.0,14.5,0.5763472890183807,0.4236527109816193,657.8947368421052
34,9,15,335.0,85.0,14.5,0.5735553748310084,0.4264446251689916,657.8947368421052
35,9,15,345.0,85.0,14.5,0.5708007016101917,0.4291992983898083,657.8947368421052
36,9,15,355.0,85.0,14.5,0.5680829668767572,0.4319170331232428,657.8947368421052
37,9,15,365.0,85.0,14.5,0.5653929163135349,0.43460708368646506,657.8947368421052
38,9,15,375.0,85.0,14.5,0.5627135348246903,0.43728646517530967,657.8947368421052
39,9,15,385.0,85.0,14.5,0.5600203802894501,0.4399796197105499,657.8947368421052
