i,j,k,x_m,y_m,depth_m,Sw,So,permeability_md
41,1,1,405.0,5.0,0.5,0.20003118325967023,0.7999688167403298,333.3333333333333
42,1,1,415.0,5.0,0.5,0.20003166496409333,0.7999683350359067,333.3333333333333
43,1,1,425.0,5.0,0.5,0.2000321469319228,0.7999678530680772,333.3333333333333
44,1,1,435.0,5.0,0.5,0.20003262792595,0.79996737207405,333.3333333333333
45,1,1,445.0,5.0,0.5,0.20003310514388734,0.7999668948561127,333.3333333333333
46,1,1,455.0,5.0,0.5,0.20003357277271608,0.799966427227284,333.3333333333333
47,1,1,465.0,5.0,0.5,0.20003401946356128,0.7999659805364387,333.3333333333333
48,1,1,475.0,5.0,0.5,0.20003442430268387,0.7999655756973161,333.3333333333333
49,1,1,485.0,5.0,0.5,0.20003475160375794,0.7999652483962421,333.3333333333333
50,1,1,495.0,5.0,0.5,0.20003494836423846,0.7999650516357615,333.3333333333333
1,2,1,5.0,15.0,0.5,0.5988024080188351,0.4011975919811649,333.3333333333333
2,2,1,15.0,15.0,0.5,0.5737013384341306,0.4262986615658694,333.3333333333333
3,2,1,25.0,15.0,0.5,0.546312231098633,0.453687768901367,333.3333333333333
4,2,1,35.0,15.0,0.5,0.5178607401085324,0.48213925989146755,333.3333333333333
5,2,1,45.0,15.0,0.5,0.48769346482345377,0.5123065351765462,333.3333333333333
6,2,1,55.0,15.0,0.5,0.45338304182680084,0.5466169581731992,333.3333333333333
7,2,1,65.0,15.0,0.5,0.4101462359265977,0.5898537640734023,333.3333333333333
8,2,1,75.0,15.0,0.5,0.35159649176941166,0.6484035082305883,333.3333333333333
9,2,1,85.0,15.0,0.5,0.27750154121348564,0.7224984587865144,333.3333333333333
10,2,1,95.0,15.0,0.5,0.21772580216233725,0.7822741978376627,333.3333333333333
11,2,1,105.0,15.0,0.5,0.20087784323569363,0.7991221567643063,333.3333333333333
12,2,1,115.0,15.0,0.5,0.20002708910809236,0.7999729108919076,333.3333333333333
13,2,1,125.0,15.0,0.5,0.20001766964718506,0.799982330352815,333.3333333333333
14,2,1,135.0,15.0,0.5,0.20001806181684448,0.7999819381831555,333.3333333333333
15,2,1,145.0,15.0,0.5,0.20001855990656417,0.7999814400934359,333.3333333333333
16,2,1,155.0,15.0,0.5,0.20001906681095896,0.7999809331890411,333.3333333333333
17,2,1,165.0,15.0,0.5,0.20001957857353334,0.7999804214264666,333.3333333333333
18,2,1,175.0,15.0,0.5,0.20002009140641458,0.7999799085935855,333.3333333333333
19,2,1,185.0,15.0,0.5,0.20002060156690862,0.7999793984330914,333.3333333333333
20,2,1,195.0,15.0,0.5,0.20002110604226597,0.799978893957734,333.3333333333333
21,2,1,205.0,15.0,0.5,0.20002160314882544,0.7999783968511746,333.3333333333333
22,2,1,215.0,15.0,0.5,0.2000220930561321,0.799977906943868,333.3333333333333
23,2,1,225.0,15.0,0.5,0.2000225773496497,0.7999774226503503,333.3333333333333
24,2,1,235.0,15.0,0.5,0.200023058010825,0.799976941989175,333.3333333333333
25,2,1,245.0,15.0,0.5,0.20002353662740077,0.7999764633725992,333.3333333333333
26,2,1,255.0,15.0,0.5,0.2000240142017559,0.7999759857982441,333.3333333333333
27,2,1,265.0,15.0,0.5,0.20002449128628527,0.7999755087137147,333.3333333333333
28,2,1,275.0,15.0,0.5,0.2000249681646124,0.7999750318353875,333.3333333333333
29,2,1,285.0,15.0,0.5,0.200025444979154,0.799974555020846,333.3333333333333
30,2,1,295.0,15.0,0.5,0.20002592180416826,0.7999740781958318,333.3333333333333
