i,j,k,x_m,y_m,depth_m,Sw,So,permeability_md
39,2,1,385.0,15.0,0.5,0.6019515220150387,0.39804847798496135,833.3333333333333
40,2,1,395.0,15.0,0.5,0.599613672134637,0.400386327865363,833.3333333333333
41,2,1,405.0,15.0,0.5,0.5973071958508199,0.4026928041491801,833.3333333333333
42,2,1,415.0,15.0,0.5,0.5950133058716458,0.4049866941283542,833.3333333333333
43,2,1,425.0,15.0,0.5,0.5926751581180156,0.40732484188198437,833.3333333333333
44,2,1,435.0,15.0,0.5,0.5902061401532285,0.4097938598467715,833.3333333333333
45,2,1,445.0,15.0,0.5,0.587465711844557,0.412534288155443,833.3333333333333
46,2,1,455.0,15.0,0.5,0.5842002763299801,0.41579972367001994,833.3333333333333
47,2,1,465.0,15.0,0.5,0.5800708509818944,0.41992914901810563,833.3333333333333
48,2,1,475.0,15.0,0.5,0.5746919983821271,0.42530800161787286,833.3333333333333
49,2,1,485.0,15.0,0.5,0.5676660471777835,0.43233395282221654,833.3333333333333
50,2,1,495.0,15.0,0.5,0.5575450473903036,0.44245495260969636,833.3333333333333
1,3,1,5.0,25.0,0.5,0.7784426938442551,0.22155730615574487,833.3333333333333
2,3,1,15.0,25.0,0.5,0.7714415381403558,0.22855846185964424,833.3333333333333
3,3,1,25.0,25.0,0.5,0.7633615961726244,0.23663840382737555,833.3333333333333
4,3,1,35.0,25.0,0.5,0.7549939286613774,0.24500607133862262,833.3333333333333
5,3,1,45.0,25.0,0.5,0.74685651510749,0.25314348489251004,833.3333333333333
6,3,1,55.0,25.0,0.5,0.7391551419131069,0.26084485808689306,833.3333333333333
7,3,1,65.0,25.0,0.5,0.731941013103974,0.26805898689602603,833.3333333333333
8,3,1,75.0,25.0,0.5,0.725221393057304,0.27477860694269596,833.3333333333333
9,3,1,85.0,25.0,0.5,0.7189572339335921,0.2810427660664079,833.3333333333333
10,3,1,95.0,25.0,0.5,0.7130731668585593,0.28692683314144074,833.3333333333333
11,3,1,105.0,25.0,0.5,0.707527304673057,0.292472695326943,833.3333333333333
12,3,1,115.0,25.0,0.5,0.7022802577970289,0.29771974220297115,833.3333333333333
13,3,1,125.0,25.0,0.5,0.6972945122142867,0.30270548778571327,833.3333333333333
14,3,1,135.0,25.0,0.5,0.6925394043883188,0.30746059561168115,833.3333333333333
15,3,1,145.0,25.0,0.5,0.6879909570654006,0.3120090429345994,833.3333333333333
16,3,1,155.0,25.0,0.5,0.6836289661870709,0.3163710338129291,833.3333333333333
17,3,1,165.0,25.0,0.5,0.679437132166096,0.320562867833904,833.3333333333333
18,3,1,175.0,25.0,0.5,0.6754013943466033,0.3245986056533967,833.3333333333333
19,3,1,185.0,25.0,0.5,0.6715113811251721,0.32848861887482794,833.3333333333333
20,3,1,195.0,25.0,0.5,0.66775020217571,0.33224979782429,833.3333333333333
21,3,1,205.0,25.0,0.5,0.6641057169762911,0.33589428302370894,833.3333333333333
22,3,1,215.0,25.0,0.5,0.6605692712563482,0.33943072874365177,833.3333333333333
23,3,1,225.0,25.0,0.5,0.6571392607159987,0.3428607392840013,833.3333333333333
24,3,1,235.0,25.0,0.5,0.6537989811404935,0.3462010188595065,833.3333333333333
25,3,1,245.0,25.0,0.5,0.650541995953063,0.34945800404693705,833.3333333333333
26,3,1,255.0,25.0,0.5,0.6473717225598444,0.35262827744015557,833.3333333333333
27,3,1,265.0,25.0,0.5,0.6442710744977315,0.35572892550226853,833.3333333333333
28,3,1,275.0,25.0,0.5,0.6412394157304454,0.3587605842695546,833.3333333333333
29,3,1,285.0,25.0,0.5,0.6382768525422532,0.3617231474577468,833.3333333333333
30,3,1,295.0,25.0,0.5,0.6353679844785884,0.36463201552141156,833.3333333333333
